album_id,album_name,artist_id
834,Best Afrodance Tunes,363
835,Best Afrodance Tunes,365
836,Calle 13 (Explicit Version),366
837,Enter The 37th Chamber,367
838,Ali & Toumani,368
839,Espiral de Ilusão - Deluxe Edition,332
840,Água (Versão Estendida),369
841,Bailar en la cueva,352
842,Cool Love,370
843,Afrocidade na Pista,371
844,El Paradise,354
845,Los De Atrás Vienen Conmigo,366
846,OQuadro,372
847,"Vox Populi, Vol. 1",373
848,Alfazema,374
849,Sea,352
850,Romperayo,375
851,Duas de Cinco,332
852,Crashes In Love (1977 Version),376
853,Amar la trama,352
854,OXEAXEEXU,334
855,BaianaSystem,334
856,Aquamosh,335
857,OXEAXEEXU,377
858,Bixiga 70 (2011),378
859,Metá Metá,356
860,Frontera,352
861,Afropop 2022,363
862,Afrodance 2022,363
863,Volume I,379
864,"Comet Series, Vol. 1 (Crazy Afrobeat)",380
865,12 segundos de oscuridad,352
866,Africa Rising Vol.2,381
867,Best Afrobeat Tunes,363
868,Afrobeats 2022,363
869,Repeat After Me,354
870,Best Afropop Tunes,363
871,Thank You Lord,382
872,Talking Timbuktu (with Ry Cooder),383
873,Maldito Carnaval,384
874,Tigrada,385
875,Morbo y Mambo,386
876,Juan Manuel,335
877,Cool Love,354
878,There's Music In The Air,387
879,Été jazz,388
880,Transubhiriano Americano,389
881,La Misa Negra,390
882,JAJAJA,335
883,Fuiste un Trozo de Hielo en la Escarcha,391
884,Cara B,352
885,Curiche,392
886,Newen Afrobeat,392
887,Parrilladas Vargas (Vol. II),342
888,ATO 3: América do Sol,334
889,Llueve,352
890,Cool Love,393
891,Freestyle de Ritmos,394
892,OXEAXEEXU,395
893,El Paradise (Extended),354
894,The Budos Band II,396
895,BaianaSystem,397
896,OXEAXEEXU,398
897,Tudo Que Move É Sagrado,399
898,Made for Pleasure,400
899,The New Sound of the Venezuelan Gozadera,354
900,Grateful,401
901,Shout to the Lord,382
902,Desire,402
903,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",403
904,The Vibe,404
905,O Caçador e a Flecha,405
906,Vivão,371
907,YOU,406
908,Belongs to You (EDM Remix),407
909,Vida,408
910,Codo Con Codo,352
911,12 Rounds (feat. Happi),409
912,GRACE,406
913,A Espetacular Charanga do França,410
914,Echo en Mexico,411
915,Hit the Floor,412
916,Ori,413
917,Ditados Populares Dançantes,345
918,Dame el Mambo,354
919,Cool Love,414
920,Abra Sua Cabeça,415
921,Burnt Offering,396
922,OXEAXEEXU,416
923,OXEAXEEXU,417
924,OXEAXEEXU,418
925,Kumama Papa (Tiktok refix version),419
926,Cymande,420
927,Make the Road By Walking,348
928,It's Only Us,421
929,Segura,422
930,Tomorrow,406
931,Stand up,423
932,SHE,406
933,Vaivén,352
934,QUITAPENAS,385
935,Noches de Morbo Vol. 1,386
936,The Red Hill,424
937,Hijo de Tigre,425
938,The Best of the Black President,426
939,Promised Heights,420
